domain,cohort,main_company_addition,market_scope,storefront_url,domain_created,domain_age_days,domain_age_source,rank_observations,latest_rank,latest_rank_date,rank_freshness_days,rank_source,traffic_basis_visits_model,current_monthly_visits_model,trailing30_visits_model,traffic_confidence,external_panel_minimum,external_panel_maximum,external_public_panels,cvr_low_assumption,cvr_base_assumption,cvr_high_assumption,aov_low_assumption,aov_base_assumption,aov_high_assumption,orders_base_model,gmv_low_model,gmv_base_model,gmv_high_model,commercial_caveat,catalog_coverage,catalog_refresh_mode,catalog_captured_at,catalog_confidence,catalog_extraction_methods,product_count,variant_offer_count,priced_offer_count,price_min,price_median,price_max,currency,reta_product_count,reta_variant_offer_count,visible_stock_records,visible_in_stock_rate,exact_quantity_records,catalog_caveat,ui_overall,ui_visual_polish,ui_mobile_usability,ui_product_clarity,ui_trust_presentation,ui_conversion_ux,ui_performance,ui_access_status,ui_confidence,ui_findings,ui_strongest_lesson,ui_biggest_failure,ui_scored_url,model_boundary
realpeptides.co,C,false,,https://realpeptides.co/,2025-04-16,466,whois://whois.registry.co/realpeptides.co,30,678775,,,https://rank.to/api/?d=realpeptides.co&n=30,53830,67753,53830,low-medium,,,,1%,2%,3%,175,250,325,1077,94202,269150,524842,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:53:31.092Z,high,woocommerce_store_api_variation_collection | woocommerce_store_api_product | woocommerce_store_api_orphan_variation,75,101,100,12,97.5,620,USD,1,4,101,0.7525,6,"Public Store API reported 75 catalog products; 75 unique parent products were captured. 1 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 1 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",6,8.5,7.5,6,7.5,3.5,1.5,age-or-research-gate,medium,An uncrossed age or research-eligibility gate covered the first-load product experience. | The gate fit the 390px viewport with a readable decision path. | Hidden product content was excluded from product-clarity and conversion scoring.,,,https://realpeptides.co/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
planetpeptide.com,main-company-gap,true,active-us-facing,https://planetpeptide.com/,2023-04-05,1210,https://rdap.verisign.com/com/v1/domain/PLANETPEPTIDE.COM,30,815259,2026-07-27,1,https://rank.to/api/?d=planetpeptide.com&n=30,52012,55896,52012,low-medium,,,,1%,2%,3%,100,175,250,1040,52012,182042,390090,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Thirty-day rank observations were converted to an order-of-magnitude monthly-visit model. This is not analytics, measured traffic, revenue, or profit.",partial_public_first_party_pages,static,2026-07-28T19:27:08.058Z,medium,Anonymous public first-party product page,3,3,3,140,650,950,USD,3,3,0,,0,"This is a bounded first-party page snapshot captured July 28, 2026, not a live feed or complete catalog enumeration. No account, gate, cart, or transaction was used. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,,,,,,,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
lotilabs.com,B,false,,https://lotilabs.com/product/retatrutide-30mg/,2019-06-25,2589,https://rdap.org/domain/lotilabs.com,30,861818,,,https://rank.to/api/?d=lotilabs.com&n=30,50299,52730,50299,low-medium,,,,1%,2%,3%,100,175,250,1006,50299,176046,377242,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS.",partial_public_html,archived,2026-07-28T01:57:24.110Z,low,Product JSON-LD,91,93,91,1.99,49.99,389.99,USD,4,4,93,0.9785,0,"Prior rendered UI state: account-gate. Fields came only from the initial anonymous GET response; no gate was accepted and no form data was entered. | No exact public inventory quantity is exposed; quantity sum is blank. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",5.6,9,7.5,4.5,6,2.5,3.7,account-gate,medium,Account creation or sign-in blocked the public product experience; the gate was not crossed. | The account gate fit the 390px viewport without horizontal overflow. | Hidden product markup was not allowed to restore product-clarity or conversion scores.,,,https://lotilabs.com/product/retatrutide-30mg/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
polarispeptides.com,C,false,,https://polarispeptides.com/,2024-01-07,931,https://rdap.verisign.com/com/v1/domain/polarispeptides.com,30,1174765,,,https://rank.to/api/?d=polarispeptides.com&n=30,38843,38089,38843,low-medium,,,,1%,2%,3%,170,240,310,777,66033,186446,361240,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:41:14.037Z,high,woocommerce_store_api_product,62,62,62,30,65,400,USD,5,5,62,0.8387,0,"Public Store API reported 62 catalog products; 62 unique parent products were captured. No exact warehouse quantities were publicly exposed. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",5.9,8,8,4.5,6,4.5,4,age-or-research-gate,medium,An uncrossed age or research-eligibility gate covered the first-load product experience. | The gate fit the 390px viewport with a readable decision path. | Hidden product content was excluded from product-clarity and conversion scoring.,,,https://polarispeptides.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
myoasislabs.com,B,false,,https://myoasislabs.com/product/glp3r/,2024-11-25,609,https://rdap.org/domain/myoasislabs.com,30,1171917,,,https://rank.to/api/?d=myoasislabs.com&n=30,37773,38186,37773,low-medium,,,,1%,2%,3%,100,175,250,755,37773,132206,283298,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS.",complete_public_woo_api,archived,2026-07-28T01:57:24.110Z,high,WooCommerce Store API,54,65,65,8.5,74.5,358,USD,1,7,65,0.9846,0,"Prior rendered UI state: age-or-research-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | No exact public inventory quantity is exposed; quantity sum is blank. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",7.2,9.5,8,6.5,7.5,5.5,6,age-or-research-gate,medium,An uncrossed age or research-eligibility gate covered the first-load product experience. | The gate fit the 390px viewport without horizontal overflow. | The first-load gate retained clear visual hierarchy and branded presentation.,,,https://myoasislabs.com/product/glp3r/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
glacieraminos.shop,A,false,,https://glacieraminos.shop/,2025-08-03,358,https://rdap.gmoregistry.net/rdap/domain/glacieraminos.shop,30,1412032,,,https://rank.to/api/?d=glacieraminos.shop&n=30,31845,31398,31845,low-medium,,,,1%,2%,3%,100,175,250,637,31845,111458,238837,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. No machine-readable public price clue captured; AOV remains cohort assumption only",public_catalog_unresolved_unknown,archived,2026-07-28T01:57:22.714Z,unknown,,0,0,0,,,,,0,0,0,,0,"products.json request failed: fetch failed | fetch failed | fetch failed | No product URLs discovered in public sitemaps. | No parseable public product offers found. | Prior UI state: ssl-protocol-error. | No gate was accepted, no account was created, and no inventory was inferred. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,ssl-protocol-error,,Both browser passes failed with ERR_SSL_PROTOCOL_ERROR. | The captured viewport was blank. | No retry bypass or exception was used.,TLS availability is a prerequisite for every other conversion optimization.,The public store was unreachable over HTTPS during the audit.,https://glacieraminos.shop/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
peptidology.co,C,false,,https://peptidology.co/,2024-11-26,607,whois://whois.registry.co/peptidology.co,30,1453740,,,https://rank.to/api/?d=peptidology.co&n=30,29177,30453,29177,low-medium,,,,1%,2%,3%,100,140,180,584,29177,81696,157556,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:53:31.092Z,high,woocommerce_store_api_variation_collection | woocommerce_store_api_orphan_variation | woocommerce_store_api_product,76,108,104,4.95,69,279,USD,1,7,108,0.7222,0,"Public Store API reported 76 catalog products; 76 unique parent products were captured. No exact warehouse quantities were publicly exposed. 6 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 4 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",5.5,9,7.5,4.5,6,2.5,2.5,account-gate,medium,Account creation or sign-in blocked the public product experience; the gate was not crossed. | The account gate fit the 390px viewport without obvious horizontal overflow. | Hidden product content was excluded from product-clarity and conversion scoring.,,,https://peptidology.co/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
ascensionpeptides.com,A,false,,https://ascensionpeptides.com/,2023-09-26,1035,https://rdap.verisign.com/com/v1/domain/ASCENSIONPEPTIDES.COM,30,1612692,,,https://rank.to/api/?d=ascensionpeptides.com&n=30,27703,27309,27703,low-medium,,,,1%,2%,3%,100,175,250,554,27703,96961,207772,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. No machine-readable public price clue captured; AOV remains cohort assumption only",complete_public_woo_api,archived,2026-07-28T01:57:22.714Z,high,WooCommerce Store API,42,42,42,40,62,250,USD,0,0,42,0.9286,0,"No exact public inventory quantity is exposed; quantity sum is blank. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",6.42,7.5,8,6,5.5,7,4.5,reachable-home-no-reta-pdp,,"The mobile hero is responsive, readable, and has an obvious shop action. | The homepage presents lab-testing and purity claims with a direct COA navigation item. | No public retatrutide PDP was found and the initial load was slow.",One strong value proposition plus one clear CTA works well on mobile.,Generic testing claims are not connected to a visible batch or product result.,https://ascensionpeptides.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
truepeptidelabs.com,C,false,,https://truepeptidelabs.com/,2025-06-06,415,https://rdap.verisign.com/com/v1/domain/truepeptidelabs.com,30,1729374,,,https://rank.to/api/?d=truepeptidelabs.com&n=30,25521,25378,25521,low-medium,,,,1%,2%,3%,90,125,160,510,22969,63802,122501,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:53:31.092Z,high,woocommerce_store_api_variation_collection | woocommerce_store_api_product | woocommerce_store_api_orphan_variation,64,100,98,3,65,579.5,USD,1,4,100,0.93,0,"Public Store API reported 64 catalog products; 64 unique parent products were captured. 4 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 2 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",5.3,7,7,4.5,6.5,3,4,age-or-research-gate,medium,An uncrossed age or research-eligibility gate covered the first-load product experience. | The gate fit the 390px viewport with a readable decision path. | Hidden product content was excluded from product-clarity and conversion scoring.,,,https://truepeptidelabs.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
behemothlabz.com,A,false,,https://behemothlabz.com/product/retatrutide-peptide/,2019-09-12,2510,https://rdap.verisign.com/com/v1/domain/BEHEMOTHLABZ.COM,30,1927296,,,https://rank.to/api/?d=behemothlabz.com&n=30,20898,22649,20898,low-medium,,,,1%,2%,3%,100,175,250,418,20898,73143,156735,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Price clues are raw values parsed from a public page and may include variants/catalog/promotions",complete_public_woo_api,archived,2026-07-28T01:57:22.714Z,high,WooCommerce Store API | woocommerce_store_api_orphan_variation,436,793,714,1.62,62.39,1800.46,USD,3,5,793,0.8752,51,"Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",5.33,4,1,6,8,5,8,reachable-mobile-broken,,"The desktop PDP includes price, strengths, delivery claims, first-party COA, third-party COA, and add-to-cart action. | The mobile PDP collapses into a narrow fixed-width column with most of the viewport left blank. | The homepage navigation and promotional artwork also crowd the mobile viewport.",Put concrete quality and shipping assurances near the product controls.,The PDP is effectively unusable on a 390px mobile screen.,https://behemothlabz.com/product/retatrutide-peptide/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
longevitypeptides.us,B,false,,https://longevitypeptides.us/,2025-03-12,502,https://rdap.org/domain/longevitypeptides.us,24,2227046,,,https://rank.to/api/?d=longevitypeptides.us&n=30,19459,19459,12525,low,,,,1%,2%,3%,100,175,250,389,19459,68106,145942,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS.",gated_or_account_walled_unknown,archived,2026-07-28T01:57:24.110Z,unknown,,0,0,0,,,,,0,0,0,,0,"products.json returned HTTP 202 or non-catalog content | HTTP 202; expected a JSON array | No parseable public product offers found. | Prior UI state: browser-challenge. | No gate was accepted, no account was created, and no inventory was inferred. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",2.1,4,0,2,2,1.5,2.5,browser-challenge,low,"A browser or connection-security interstitial replaced the storefront in both tested viewports. | Product clarity, trust, conversion, and timing could not be reliably evaluated without bypassing the challenge.",,,https://longevitypeptides.us/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
peptideplugs.com,C,false,,https://peptideplugs.com/,2025-12-30,208,https://rdap.verisign.com/com/v1/domain/peptideplugs.com,30,2119698,,,https://rank.to/api/?d=peptideplugs.com&n=30,18485,20495,18485,low-medium,,,,1%,2%,3%,85,120,155,370,15712,44364,85955,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:41:14.037Z,high,woocommerce_store_api_product | woocommerce_store_api_variation_collection,65,79,79,10,50,199,USD,3,3,79,0.8734,64,"Public Store API reported 65 catalog products; 65 unique parent products were captured. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",0.5,1,1,0,0,0,1,blank-response,low,"Both tested viewports rendered blank or unusable first-load captures. | No public product hierarchy, trust cue, or conversion path was observable.",,,https://www.peptideplugs.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
bluumpeptides.com,priority-existing-refresh,false,active-us-facing,https://bluumpeptides.com/,2024-05-15,804,https://rdap.verisign.com/com/v1/domain/BLUUMPEPTIDES.COM,15,2741058,2026-07-27,1,https://rank.to/api/?d=bluumpeptides.com&n=30,15647,15647,,low,,,,1%,2%,3%,100,175,250,313,15647,54765,117352,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Only 15/30 ranked days were available, so the latest-rank pace is used. This is an order-of-magnitude model, not analytics or measured revenue.",complete_public_shopify_feed,live,2026-07-28T20:43:44.412Z,high,Shopify public products feed,46,75,75,15,65,469,USD,1,5,75,0.9333,0,"Anonymous public Shopify product feed was paginated until empty. No account, gate, cart, or transaction was used. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,age-gate,,"Homepage and PDP both show the same full-screen age gate. | The gate is visually polished and responsive. | The Yes action was not used, so product and checkout states remain unobserved.",A gate can preserve premium brand quality on desktop and mobile.,No public product evidence is visible without interaction.,https://bluumpeptides.com/products/retatrutide,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
onyxbiolabs.com,B,false,,https://onyxbiolabs.com/product/retatrutide-peptide/,2025-08-23,338,https://rdap.org/domain/onyxbiolabs.com,28,1802670,,,https://rank.to/api/?d=onyxbiolabs.com&n=30,15541,24296,15541,low-medium,,,,1%,2%,3%,100,175,250,311,15541,54394,116557,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS.",complete_public_woo_api,archived,2026-07-28T01:57:24.110Z,high,WooCommerce Store API | woocommerce_store_api_orphan_variation,32,68,68,11.99,42.49,249.99,USD,1,6,68,0.8676,0,"No exact public inventory quantity is exposed; quantity sum is blank. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",7.9,9.5,9,6.5,6.5,7.5,9.1,open-product,high,"COA, batch, or laboratory-testing proof was visible. | Average observed DOM-ready time was 550ms with a 9.1/10 performance score. | The loaded page did not expose a clear Reta/product heading, purchase CTA.",,,https://onyxbiolabs.com/product/retatrutide-peptide/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
lvluphealth.com,B,false,,https://lvluphealth.com/,2020-09-17,2139,https://rdap.org/domain/lvluphealth.com,30,2071197,,,https://rank.to/api/?d=lvluphealth.com&n=30,15478,21000,15478,low-medium,,,,1%,2%,3%,100,175,250,310,15478,54173,116085,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS.",public_catalog_unresolved_unknown,archived,2026-07-28T01:57:24.110Z,unknown,,0,0,0,,,,,0,0,0,,0,"products.json returned HTTP 429 or non-catalog content | HTTP 429; expected a JSON array | 1 product pages failed | No parseable public product offers found. | Prior UI state: storefront-fallback. | No gate was accepted, no account was created, and no inventory was inferred. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",7.2,9.5,9,5,5.5,8,5.5,storefront-fallback,medium,"The loaded page did not expose a clear Reta/product heading, purchase CTA. | No COA, batch, or laboratory-testing proof was visible. | Average observed DOM-ready time was 2738ms; performance scored 5.5/10.",,,https://lvluphealth.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
peptidehackers.com,B,false,,https://www.peptidehackers.com/products/retatrutide,2024-05-21,797,https://rdap.org/domain/peptidehackers.com,21,2868831,,,https://rank.to/api/?d=peptidehackers.com&n=30,14916,14916,9771,low,,,,1%,2%,3%,100,175,250,298,14916,52206,111870,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS.",complete_public_sitemap_html,archived,2026-07-28T01:57:24.110Z,medium,Nuxt public SSR product data,122,186,186,10,83,1250,USD,1,7,186,0.8548,115,"Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",8.8,10,10,9.5,6.5,7.5,9.3,open-product,high,"Product heading, displayed price, and purchase CTA were visible. | COA, batch, or laboratory-testing proof was visible. | The public path redirected to or presented an account/login gate.",,,https://www.peptidehackers.com/products/retatrutide,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
peptidessource.com,main-company-gap,true,active-us-facing,https://peptidessource.com/,2024-02-17,892,https://rdap.verisign.com/com/v1/domain/PEPTIDESSOURCE.COM,22,2874560,2026-07-27,1,https://rank.to/api/?d=peptidessource.com&n=30,14885,14885,,low,,,,1%,2%,3%,100,175,250,298,14885,52098,111638,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Only 22/30 ranked days were available, so the latest-rank pace is used. This is an order-of-magnitude model, not analytics or measured revenue.",partial_public_first_party_pages,static,2026-07-28T19:27:08.058Z,medium,Anonymous public first-party product page,6,6,6,42,162.75,266,USD,6,6,0,,0,"This is a bounded first-party page snapshot captured July 28, 2026, not a live feed or complete catalog enumeration. No account, gate, cart, or transaction was used. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,,,,,,,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
pspeptides.com,C,false,,https://pspeptides.com/,2025-11-10,258,https://rdap.verisign.com/com/v1/domain/pspeptides.com,14,3286109,,,https://rank.to/api/?d=pspeptides.com&n=30,12934,12934,5791,low,,,,1%,2%,3%,85,120,155,259,10994,31042,60143,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:41:14.037Z,high,woocommerce_store_api_product | woocommerce_store_api_variation_collection,68,99,99,1.99,49.99,544.99,USD,1,5,99,0.9495,0,"Public Store API reported 68 catalog products; 68 unique parent products were captured. No exact warehouse quantities were publicly exposed. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",8.1,9,9.5,6.5,9,9,4,storefront-fallback,medium,"The open storefront showed a clear research-peptide proposition and primary shopping CTA. | Testing, review, purity, or shipping trust cues were visible in the captured viewport. | Average screenshot-capture time was 6161ms; the documented performance proxy scored 4/10.",,,https://pspeptides.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
americanpeptides.us,A,false,,https://www.americanpeptides.us/products/retatrutide,2026-02-21,156,whois.nic.us,30,2593838,,,https://rank.to/api/?d=americanpeptides.us&n=30,12899,16581,12899,low-medium,,,,1%,2%,3%,100,175,250,258,12899,45146,96742,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Price clues are raw values parsed from a public page and may include variants/catalog/promotions",partial_public_html,archived,2026-07-28T01:57:22.714Z,low,Product JSON-LD,5,13,13,70,200,428,USD,2,6,13,0.8462,0,"Prior rendered UI state: research-confirmation-gate. Fields came only from the initial anonymous GET response; no gate was accepted and no form data was entered. | No exact public inventory quantity is exposed; quantity sum is blank. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,research-confirmation-gate,,Both homepage and PDP are covered by a researcher and age confirmation modal. | The gate is responsive and clearly explains the research-only boundary. | The confirmation control was not activated.,A compliance gate should clearly state who may enter and why.,The public product experience cannot be compared without affirming the gate.,https://www.americanpeptides.us/products/retatrutide,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
premierbiolabs.com,C,false,,https://premierbiolabs.com/,2025-09-07,322,https://rdap.verisign.com/com/v1/domain/premierbiolabs.com,19,3717288,,,https://rank.to/api/?d=premierbiolabs.com&n=30,11363,11363,6664,low,,,,1%,2%,3%,165,235,305,227,18749,53406,103971,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:53:31.092Z,high,woocommerce_store_api_product | woocommerce_store_api_variation_collection | woocommerce_store_api_orphan_variation,178,184,124,3.99,79.49,1197.99,USD,21,21,184,0.962,2,"Public Store API reported 178 catalog products; 178 unique parent products were captured. 4 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 60 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",7.4,8.5,8.5,6.5,7,8.5,4,storefront-fallback,medium,"The open storefront showed a clear research-peptide proposition and primary shopping CTA. | Testing, review, purity, or shipping trust cues were visible in the captured viewport. | Average screenshot-capture time was 7382ms; the documented performance proxy scored 4/10.",,,https://premierbiolabs.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
